Detail of Gifts	Item Category	Name of Recipient	Affiliation	Date	Assessed Value	Retention Cost	Retained	Remarks
"a. A  model  of  Twin
Tower
b. Five Books"		Sami  Ullah	Gen Mush	11/10/2005	3500	0	Yes	Yes
"One  Apple  I-Phone
Xs,  Gold,  256  GB
Model
(A2097)"	Phone	"SAPM  on  Foreign
Affairs"	Military	11/02/2020	100000	0	Yes	Yes
a) One  Pen  (Mont 	Pen	"SAPM  on  Foreign
Affairs"	Military	11/02/2020	23000	0	No	No
"One  Decoration
Piece (Crystal)"	Decoration Pieces	"SAPM  on  Social
Petroleum  &  Poverty
Alleviation"	PTI	28/02/2020	40000	0	No	No
"a) One  hand
painted  Tea  Set
(16 pieces)
b) One book
c) One  piece  of
Handicraft"	Crockery	"SAPM for National Health
Services,  Regulations  &
Coordination"	PTI	02/03/2020	45000	10000	Yes	Yes
"One  w/watch  Rolex
(Oyster  S,
SAP39137)
(M114300-0003)"	Watch	"SAPM for National Health
Services,  Regulations  &
Coordination"	PTI	03/03/2020	830000	400000	Yes	Yes
"One  Table  Clock
Hilser  for  Grant
Macdonald"		SAPM on Foreign Affairs	PTI	03/03/2020	325000	0	No	No
"One w/watch Rolex
Model  no.
(M114300-0003)
S.No. 78sP7819"	Watch	SAPM on Foreign Affairs	PTI	04/03/2020	830000	400000	Yes	Yes
"One  w/watch
“Bvlgari”
OC41SPO5205
(Black dial)"	Watch	Saqlain  Javed	Military	04/03/2020	625000	297500	Yes	Yes
"One  w/watch
“Bvlgari”
OC41SPO5028"	Watch	"Sardar  Usman
Ahmed  Khan
Buzdar
Minister of Punjab"		04/03/2020	625000	297500	Yes	Yes
"One  w/watch
“Bvlgari”
PO1215BB41S"	Watch	"Sardar  Yar  Muhammad
Rind"		04/03/2020	387500	0	No	No
One model of Truck		Secretary  General	PTI	30/04/2019	0	0	Yes	Yes
"One  w/watch
“Bvlgari”
OC41SPO5182"	Watch	"Secretary  M/o
Information  &
Broadcasting"	Military	04/03/2020	0	0	Yes	Yes
"One  w/watch
“Bvlgari”
BB41SPO1098"	Watch	"Secretary  Ministry  of
petroleum  &  Natural
Resources"	Police	04/03/2020	387500	178750	Yes	Yes
"One  w/watch
“Movado” 83-C5-
1890-24439010"	Watch	"Secretary  Ministry  of
petroleum  &  Natural
Resources"	Media	04/03/2020	130000	0	Yes	Yes
"One  w/watch
“Movado”  83-C5-
1890-24439121"	Watch	"Secretary  Ministry  of
petroleum  &  Natural
Resources"	Media	04/03/2020	0	0	Yes	Yes
"One  w/watch
”Qazaqstan”
(Automatic)
(002/100)"	Watch	"Secretary  Ministry  of
petroleum  &  Natural
Resources"	PTI	13/03/2020	130000	0	No	No
"One  w/watch
“Boucheron”  No.
121D 134"	Watch	"Secretary  Ministry  of
petroleum  &  Natural
Resources"	PTI	19/05/2020	450000	0	No	No
"One  tea  set  10
pieces"	Crockery	"Secretary  Planning  &  Development
Division"	Police	09/03/2020	0	0	No	No
"One  Hublot  Classic
Fusion  w/watch
1302995-510-
NX.2610.NX"	Watch	Secretary Interior	PTI	12/03/2020	750000	0	No	No
"One  w/watch
Frederique  Constant
FC-750  MC4H6
Hybrid smart watch"	Watch	"Secretary,  PD&SI
“Planning,  Development
& Special Initiative”"	PTI	19/05/2020	400000	0	No	No
"a) One  bronze
horse ornament
b) One  tea  set  11
pieces"	Crockery	"Secretary, Commerce"	PTI	09/06/2020	180000	75000	Yes	Yes
"One  Traditional
Gown"		"Secretary, Economic Affairs Division"	PTI	09/06/2020	3000	0	Yes	Yes
"One  Souvenir
golden"		"Secretary, Petroleum Division"	PTI	09/06/2020	10000	0	Yes	Yes
"One  Tasbih Sterling
Silver"		"Secretary, Petroleum Division"	PTI	25/08/2020	6500	0	Yes	Yes
"One  w/watch
Bvlgari"	Watch	Secretary/Chairman Railways Board	Bureaucracy	08/09/2020	0	297500	Yes	Yes
One Silk Carpet	Carpet	Seema  Ilahi  Baloch	PTI	17/09/2020	400000	0	No	No
"One  Box  Containing
Pewter  Leaf  and
Spoon"		"Sehabzada  Ahmed
Khan"	PTI	18/09/2020	70000	20000	Yes	Yes
"a) One  w/watch
Rolex  No.
E67574v3,
b) Pair  of
Cufflinks,
c) One ring
d) Unstitched
cloth"	Watch	"Senator  M.  Talha
Mehmood"	PTI	24/09/2020	932800	2435000	Yes	Yes
"One  Jewellery  box
having  one  necklace
and a ring"		Shah Hussain Mehmood Qureshi	Military	16/08/2004	195000	27750	Yes	Yes
"a. One  wrist  watch
Bvlgari
b. One  wrist  watch
Bvlgari"	Watch	Shah Hussain Mehmood Qureshi	Military	25/08/2004	85000	11250	Yes	Yes
"a. One  wrist  watch
Bvlgari (gents)
b. One  Wrist  Watch
Bvlgari  (ladies)"	Watch	Shah Hussain Mehmood Qureshi	Gen Mush	26/08/2004	85000	11250	Yes	Yes
One Jewellary box		Shah Hussain Mehmood Qureshi	Military	27/08/2004	1000	0	Yes	Yes
One Metallic box		Shah Hussain Mehmood Qureshi	Military	30/08/2004	800	0	Yes	Yes
One souvenir		Shah Hussain Mehmood Qureshi	Gen Mush	02/09/2004	0	0	Yes	Yes
"One Wrist  Watch
Chaumat"	Watch	Shah Hussain Mehmood Qureshi	Military	13/09/2004	30000	3000	Yes	Yes
"One wrist watch Paul
Picot"	Watch	Shah Hussain Mehmood Qureshi	Military	14/09/2004	50000	6000	Yes	Yes
"One  wrist  watch
Concord"	Watch	Shah Hussain Mehmood Qureshi	Military	14/09/2004	30000	3000	Yes	Yes
"One  wrist  watch
Concord"	Watch	Shah Hussain Mehmood Qureshi	Military	14/09/2004	30000	3000	Yes	Yes
One  wrist  watch	Watch	Shah Hussain Mehmood Qureshi	Military	14/09/2004	30000	3000	Amount	Amount
"One  wrist  watch
Tissot"	Watch	Shah Hussain Mehmood Qureshi	Military	14/09/2004	14000	600	Yes	Yes
A wrist watch Tissot	Watch	Shah Hussain Mehmood Qureshi	Police	14/09/2004	14000	0	Yes	Yes
"One  wrist  watch
Tissot"	Watch	Shah Hussain Mehmood Qureshi	Military	14/09/2004	10000	0	Yes	Yes
A wrist watch Tissot	Watch	Shah Hussain Mehmood Qureshi	Police	14/09/2004	5500	0	Yes	Yes
One Ball Pen	Pen	Shah Hussain Mehmood Qureshi	Military	14/09/2004	1200	0	Yes	Yes
One Ball Pen	Pen	Shah Hussain Mehmood Qureshi	Military	14/09/2004	1200	0	Yes	Yes
"a. A saree
b. A volet set
c. Two  chaugas
(Abaas)
d. A Neck tie
e. Five menu stands
f. Two Menu cards
g. A soup set (46 pcs)
h. Four books"		Shah Hussain Mehmood Qureshi	Gen Mush	17/05/2005	21650	1748	Yes	Yes
"a. A brooch
b. A scenery
c. A shawl (lady)
d. A suit (lady)
e. A book “the Istana”
f. Two gowns
g. Jewellery box
h. Pictorial History book
i. One book
j. One Painting
k. One Pair of lions
l. A tasbeeh"		Shah Hussain Mehmood Qureshi	Gen Mush	17/05/2005	17750	1260	Yes	Yes
A dagger		Shah Hussain Mehmood Qureshi	Gen Mush	17/05/2005	5500	0	Yes	Yes
A lady suit		Shah Hussain Mehmood Qureshi	Gen Mush	17/05/2005	3000	0	Yes	Yes
"a. A shawl
b. Four  cup  with
saucers."		Shah Hussain Mehmood Qureshi	Gen Mush	17/05/2005	1650	0	Yes	Yes
"a. A  group  photo
(duly framed)
b. A gents shirt"		Shah Hussain Mehmood Qureshi	Gen Mush	17/05/2005	1500	0	Yes	Yes
A shield		Shah Hussain Mehmood Qureshi	Gen Mush	17/05/2005	1000	0	Yes	Yes
"a. A lady purse
b. A tea set (18 pcs)"	Bags	Shah Hussain Mehmood Qureshi	Gen Mush	17/05/2005	800	0	Yes	Yes
A decoration piece	Decoration Pieces	Shah Hussain Mehmood Qureshi	Gen Mush	17/05/2005	750	0	Yes	Yes
A shield		Shah Hussain Mehmood Qureshi	Gen Mush	17/05/2005	500	0	Yes	Yes
A flower vase 	Decoration Pieces	Shah Hussain Mehmood Qureshi		18/06/2005	1000	0	Auctioned	"Auctioned for
Rs.1,431/-"
One Mont Blanc Ball pen	Pen	Shah Hussain Mehmood Qureshi		20/08/2005	5900	0	Yes	Yes
"A  wrist  watch  Tag
Heuer"	Watch	Shah Hussain Mehmood Qureshi	Military	21/09/2005	70000	9000	Yes	Yes
"One  Carpet
(Afghani)"	Carpet	Shah Mahmood  Hussain  Qureshi	Bureaucracy	28/12/2020	60000	15000	Yes	Yes
"a. One  wood  carving
handmade  table  in
oriental style
b. Two  wood  carving
handmade  chairs  in
oriental style"		Shah Mahmood  Hussain  Qureshi		04/01/2021	45000	7500	Yes	Yes
One carpet	Carpet	Shah Mahmood  Hussain  Qureshi	PTI	13/01/2021	32000	1000	Yes	Yes
One vase (Black)	Decoration Pieces	Shah Mahmood  Hussain  Qureshi		19/01/2021	50000	0	No	No
"One Vase
(Traditional  Chinese
ornament)"	Decoration Pieces	Shah Mahmood  Hussain  Qureshi	Bureaucracy	20/01/2021	10000	0	No	No
One Tea set	Crockery	Shah Mahmood  Hussain  Qureshi	PTI	01/02/2021	5000	0	No	No
One carpet	Carpet	Shah Mahmood  Hussain  Qureshi	PTI	22/02/2021	22000	0	Yes	Yes
"a. One Pistol
b. One Long Coat
c. One Dagger"	Weapons	Shah Mahmood  Hussain  Qureshi	PTI	23/02/2021	210000	37500	Yes	Yes
"a. One  Box  Containing
Arabian Oud
b. One Souvenir"		Shah Mahmood  Hussain  Qureshi	PTI	23/02/2021	50000	10000	Yes	Yes
One Bowl		Shah Mahmood  Hussain  Qureshi	PTI	23/02/2021	8000	0	Yes	Yes
One scenery		Shah Mahmood  Hussain  Qureshi	PTI	03/03/2021	15000	0	Yes	Yes
"a. One  Noritake  dinner
set (34 pieces)
b. One Pair of cufflinks"		Shah Mahmood  Hussain  Qureshi	PTI	04/03/2021	120000	45000	Yes	Yes
"One  Noritake  dinner
set (27 pieces)"		Shah Mahmood  Hussain  Qureshi	PTI	04/03/2021	110000	40000	Yes	Yes
One surahi (silver)		Shah Mahmood  Hussain  Qureshi	PTI	04/03/2021	100000	0	"Displayed at PM
House"	"Displayed at PM
House"
"a. Gemstone  of  Sri
Lanka (duly framed)
b. Tasbih"		Shah Mahmood  Hussain  Qureshi	PTI	04/03/2021	7500	0	Yes	Yes
"One mobile phone
(Huawei)"	Phone	Shah Mahmood  Hussain  Qureshi	PTI	05/03/2021	250000	0	No	No
"One  cash  award  of
Rs.500,000/-"		Shah Mahmood  Hussain  Qureshi	Military	08/03/2021	500000	0	"Cash Award
Rs.500,000/-,
amount
deposited"	"Cash Award
Rs.500,000/-,
amount
deposited"
"Three  tables  in oriental
style
(handmade  wood
carving)"		Shah Mahmood  Hussain  Qureshi	PTI	11/03/2021	45000	0	No	No
One rosary (Tasbih)		Shah Mahmood  Hussain  Qureshi		15/03/2021	5000	0	No	No
"One wrist watch Rolex
No.M126334-0016"	Watch	Shah Mahmood  Hussain  Qureshi		17/03/2021	2350000	0	No	No
"One  w/watch  Longines
Hydroconque ST
L3.742.4.96.6
(51445973)"	Watch	Shah Mahmood  Hussain  Qureshi	Military	30/03/2021	110000	40000	Yes	Yes
"One  W/watch  certina
DS  Action,  model  No.
C032.451.11.057"	Watch	Shahbaz  M.  Malik	Military	14/04/2021	90000	30000	Yes	Yes
"One Green Tea set and Dates (one box)
i.e.
a.  One  Arabic  coffee
(700 grams) approx
b.  One  Tea  set
containing  one  surahi
with  stand,  one  Tray
and six plastic cups
c.  One  box  of  dates
containing  walnut
(2kg) approx."		Shahid	PTI	27/12/2021	39000	4500	Yes	Amount
"One  Huawei  Watch  GT
2 Pro"	Watch	Shahid  Ali  Baig		30/04/2021	32000	1000	Yes	Yes
One Huawei Tablet		Shahid  Ali  Seehar		17/05/2021	55000	0	No	No
"a.  One  box
containing: -
i.  Oud wood
ii. Two bottles of oud
iii. Two chogas
b.  One  box
containing: -
(i).  Three  packets  of
dates
(ii)  Three  bottles  of
honey
(iii)  Three  bottles  of
olive oil
(iv)  Three  packets  of
coffee
c.  One  box
containing: -
One  book  (craft  of
kingdom)"		Shahid  Ali  Sheikh	PTI	18/05/2021	296500	133250	Yes	Yes
One Azure bowl		Shahid  Ibrar  		01/12/2020	13000	0	Yes	Yes
One Azure bowl		Shahid  Ibrar  		01/12/2020	13000	0	Yes	Yes
One Azure bowl		Shahid  Ibrar  	Military	01/12/2020	13000	0	Yes	Yes
"One box containing
a. One necklace
b. One pair of earrings
c. One ring
d. One bracelet"		"Shahid  Saleem  Khan
"		18/05/2021	5859000	2914500	Yes	Yes
Tea set (5 pieces)	Crockery	"Shahzad
Fatah"	PPP	12/10/2022	285000	0	No	No
One scarf		Shahzad  Fatah		07/12/2021	7000	0	Yes	Yes
"One  Ladies  Beauty
Items"		Shahzad  Fatah	PMLN	31/08/2022	60000	0	No	No
One Model of stadium		"Shahzad  Fatah
"	PMLN	30/08/2022	15000	0	Yes	Yes
Tea set (5 pieces)	Crockery	Shahzad Fatah	PPP	12/10/2022	285000	0	No	No
"One box containing
(One bottle of oud)"		Shaikh  Rashid  Ahmed	Military	18/05/2021	12000	0	Yes	Yes
"a. One  world  travel
adapter
b. One  wireless
charger (streit)"		Shaikh Imran ul Haque		20/05/2021	6000	0	Yes	Yes
"a. One  Quran  with
urdu  translation/
tafseer  by  molana
Ashraf Ali Thanvi
b. One prayer mat with
Compass
c. one prayer cap
d. Tasbeeh
e. Date  with  dry  Fruit
(Almond)  (06)
(Unpacked  &
Perishable"		Shazia  Azam		20/05/2021	3000	0	"a. Gifts at Serial
No. a,b,c and
d are
deposited in
Toshakhana
b. Dates after
being rottened
were written
off."	"a. Gifts at Serial
No. a,b,c and
d are
deposited in
Toshakhana
b. Dates after
being rottened
were written
off."
"a.  Ajwa  dates  (19pcs)
(Unpacked  &
Perishable)
b.  Amber  Dates  (9pcs)
(Unpacked  &
Perishable)
c.  Mabroom  Dates
(17pcs)  (Unpacked  &
Perishable)"		"Shehryar  Akbar
Khan"		20/05/2021	0	0	"a. written off
b. written off
c. written off
d.Deposited in
Toshakhana"	"a. written off
b. written off
c. written off
d.Deposited in
Toshakhana"
"A wooden frame having
99 names of Allah"		"Sheikh  Rasheed
Ahmed"	Bureaucracy	25/05/2021	3000	0	No	No
"One gift box containing
Saudi food products"		"Sheikh  Rasheed
Ahmed"	Bureaucracy	26/05/2021	15200	0	Yes	Yes
"a.  One  Rolex  W/watch
sticker  No.M126334-
0022, 5417K051
OYSTER M
b.  One  Browning  9MM
511mn50266  Gun
(with 2
Magazines)"	Watch	"Sheikh  Rasheed
Ahmed"		02/06/2021	1975000	0	No	No
"One  Silver  coated
sculpture  of
Falcon(bird)"		"Sheikh  Rasheed
Ahmed"		02/06/2021	50000	0	"Displayed at PM
House"	"Displayed at PM
House"
"One table  clock  with
two candle stands"		"Sheikh  Rasheed
Ahmed"	PTI	04/06/2021	130000	0	No	No
"One  Piece  of  Lacquer
miniature art"		"Sheikh  Rasheed
Ahmed"		08/06/2021	6000	0	No	No
One Model of Iraq Map		"Sheikh  Rasheed
Ahmed"		08/06/2021	6000	0	No	No
"One  box  containing
NAKHB  Al-TAIF  ROSE
(two bottles)"		"Sheikh  Rasheed
Ahmed"		10/06/2021	25000	0	Yes	Yes
"One Souvenir
(Horse  along  with  a
small table clock)"		"Sheikh  Rasheed
Ahmed"	PTI	16/06/2021	30000	0	Yes	Yes
"a. One  statue  of
Mahatma
b. Three souvenirs i.e.
(i) Hand sign
(ii) Flower shaped
(iii) House shaped"		"Sheikh  Rasheed
Ahmed"	PTI	16/06/2021	20000	0	Yes	Yes
"One shield
(Tray shaped)"		"Sheikh  Rasheed
Ahmed"	PTI	16/06/2021	20000	0	Yes	Yes
"a. One Kehwa Set
b. One book"		"Sheikh  Rasheed
Ahmed"	PTI	16/06/2021	0	0	Yes	Yes
One Ceramic Bowl		Shiffat  Ali  Khan 	PTI	16/01/2020	1500	0	No	No
Silver decoration piece	Decoration Pieces	Sohail		23/12/2021	0	0	Yes	Yes
One chess		"Son  of  Mr.
Mamnoon Hussain"	PTI	26/07/2021	27000	0	Yes	Yes
"One  wrist  watch  GF
Ferre"	Watch	"Speaker  National
Assembly"	Military	21/10/2021	65000	17500	Yes	Yes
"One  Model  of  Golden
Temple"		"Speaker  National
Assembly"	PTI	04/11/2021	15600	0	No	No
"Two writing  pens
Cerruti 1881: -
a. One ball pen
b. One fountain pen"	Pen	"Speaker  National
Assembly"		05/11/2021	5000	0	No	No
"One  box  containing
Utensils  (Small  Cups
and Plate)"		"Speaker  National
Assembly"	PTI	10/11/2021	28000	0	Yes	Yes
"a.  One  box  containing:
-
i)  Oud Wood
ii)  Two  Bottles  of  Oud
(Oil)  (Taif  Rose  Bride
Rate)
iii) Three Choghas"		"Special  Assistant  to
the  Prime  Minister
on Accountability"	PTI	11/11/2021	271000	193000	Yes	Yes
"One  Hand  Carved
wooden Plate (box)"		"Special  Assistant  to  the  Prime
Minister  for  National  Health
Services,  Regulation &
Coordination"		12/11/2021	22000	0	Yes	Yes
"One gift box containing
Zafran"		"Spouse  of  Cabinet
Secretary"	Military	15/11/2021	8000	0	Yes	Yes
"a. Bed sheet
b. Towel"		"Spouse of Mr. Moin Ul
Haq"	Bureaucracy	01/12/2021	5000	0	Yes	Yes
"One  envelope
containing:-
a. Book
b. Wall clock
c. T.shirt
d. Cap
e. Model of camel
f. pen"		"Sqn.  Ldr.  Amjad
Khalil  Faizi"	Military	07/12/2021	4500	0	Yes	Yes
"a. Memento  of  Rail
car
b. A  medium  size
Jewelry  box/Cigar
box
c. One  coin  of  rail
car
d. One  small  bowl
along  with  spoon
(golden colour)"		Sumair Ahmad Syed		07/01/2022	108000	0	No	No
"One  Victorinox  Swiss
Army wrist watch
(0Model:241701)
(2211)"	Watch	Syed  Abbas  Ahsan	Military	11/01/2022	75000	22500	Yes	Yes
"One  Victorinox  swiss
Army wrist watch
(Model:241697)
(2212)"	Watch	Syed  Abrar  Hussain	Military	11/01/2022	85000	27500	Yes	Yes
"Two  blue  decoration
bowl (two pcs): -
a. One  Turquoise
(small)
b. One Turquoise"	Decoration Pieces	Syed  Abrar  Hussain	PTI	25/01/2022	98000	0	No	No
One Turkmen Rug		Syed  Abrar  Hussain	Bureaucracy	02/02/2022	10000	0	No	No
"One w/watch Rolex
Model No.126333
Serial No.6x8133F1
(Oyster  perpetual
Datejust)"	Watch	"Syed  Afzal  Hussain
Shah"	PTI	09/02/2022	2500000	123500	Yes	Yes
"W/Watch  Rolex
Golden Watch  No.
Oyster  M
SAP39139.64
(Datejust)  (without
warranty card)"	Watch	"Syed  Afzal  Hussain
Shah"		09/02/2022	2100000	0	No	No
"Two gifts i.e.
a. Two Mascots
b. One small Tea set"	Crockery	"Syed  Afzal  Hussain
Shah"	Bureaucracy	09/02/2022	60000	0	Yes	Yes
"One  box  containing
crystal  model  of  clock
tower"	Decoration Pieces	"Syed  Afzal  Hussain
Shah"	PTI	11/02/2022	10000	0	Yes	Yes
One Urn (large)	Decoration Pieces	"Syed  Afzal  Hussain
Shah"	Judiciary	14/02/2022	330000	0	"Displayed
at Supreme
Court
Museum"	"Displayed
at Supreme
Court
Museum"
"A flower vase
(white  and  blue
colors)"	Decoration Pieces	"Syed  Afzal  Hussain
Shah"	PTI	14/02/2022	40000	0	No	No
"One  flower  vase  (Red
color)"	Decoration Pieces	"Syed  Afzal  Hussain
Shah"	PTI	14/02/2022	27000	0	Yes	Yes
"One  Business  card
Tray (Japan)"		"Syed  Afzal  Hussain
Shah"		22/02/2022	7000	0	No	No
One steel cutlery set		"Syed  Afzal  Hussain
Shah"		23/02/2022	0	0	No	No
"One  golden  model  of
ship"		"Syed  Ahmed
Mujtaba  Gillani"	PTI	25/02/2022	20000	0	Yes	Yes
One crystal souvenir		"Syed  Ahsan  Raza
Shah"	PTI	02/03/2022	6000	0	Yes	Yes
"Four boxes containing
cup mats"		"Syed  Ahsan  Raza
Shah"	PTI	07/03/2022	5000	0	Yes	Yes
"One souvenir  clock
(gold plated)"		"Syed  Ahsan  Raza
Shah"	PTI	10/03/2022	110000	40000	Yes	Yes
"One  bag  containing
Beijing  2022,  Tea  set
(five pieces)"	Crockery	"Syed  Ahsan  Raza
Shah"	PTI	11/03/2022	8000	0	No	No
"One  model  of
Registan  Ensemble
(One  Heart  of
Samarkand)"		"Syed  Ahsan  Raza
Shah"	PTI	15/03/2022	25000	0	No	No
"One  soft  drink  set
(18pcs)"		"Syed  Ahsan  Raza
Shah"	PTI	16/03/2022	280000	0	No	No
One tea set (16pcs)	Crockery	"Syed  Ali  Adnan  Rizvi
"	PTI	16/03/2022	57000	0	No	No
"a. One  pistol  (having
magazine  and
bullets)  (9mm)
duly framed
b. One decoration
piece (wolf)"	Weapons	Syed  Ali  Haider  Zaidi	PTI	16/03/2022	800000	0	"Sr.No. (a)
Deposited
in
Toshakhana
Sr.No.(b)
Displayed
at Prime
Minister
House"	"Sr.No. (a)
Deposited
in
Toshakhana
Sr.No.(b)
Displayed
at Prime
Minister
House"
One Olympic Mascot		"Syed  Ali  Musa
Gillani"	Military	16/03/2022	5000	0	Yes	Yes
"Two  framed
calligraphies: -
a. One small
b. One large"		Syed  Anwar  Mahmood	PTI	17/03/2022	29000	0	Yes	Yes
"One  Onyx Plate
(Augarten Wien)"		Syed  Hamid  Kazmi	PTI	25/03/2022	50000	0	No	No
One carpet	Carpet	Syed  Hasan  Javed	PTI	25/03/2022	287000	0	No	No
One shield		Syed  Hasan  Javed	PTI	25/03/2022	12000	0	No	No
"a. One kehwa tea set
b. One coffee packet"	Crockery	Syed  Imran  Ali	PTI	25/03/2022	59400	0	No	No
"One  decoration  piece
(Asfour)"		"Syed  Iqtidar  Huyssain
Kousar"	PTI	25/03/2022	12000	0	No	No
"One model of Masjid e
Aqsa"		"Syed  Javid  Hasnain
Kazmi"	PTI	25/03/2022	25000	0	No	No
One carpet	Carpet	"Syed  Javid  Hasnain
Kazmi"	PTI	29/03/2022	13800	0	No	No
"a.  One  souvenir
(Zafer Migfer)
b. One shield
c. One vase"	Decoration Pieces	Syed  Kaleem  Imam	PTI	30/03/2022	110000	40000	Yes	Yes
"a. One carpet
b. One sindhi khase
c. One sindhi Rally"	Carpet	Syed  Masood  Alam  Rizvi	PMLN	15/04/2022	60000	0	"Sr.No. (a)
Displayed
at Prime
Minister
House
Sr.No.
(b&c)
Deposited
in
Toshakhana"	"Sr.No. (a)
Displayed
at Prime
Minister
House
Sr.No.
(b&c)
Deposited
in
Toshakhana"
One carpet	Carpet	"Syed  Muhammad  Ali
Gardez"	PMLN	21/04/2022	40000	0	Displayed	Displayed
One carpet	Carpet	Syed  Muhammad  Ilyas	PMLN	26/04/2022	90000	0	"Displayed
at Prime
Minister
House"	"Displayed
at Prime
Minister
House"
One carpet	Carpet	Syed  Mushir  Ali  Shahid	PMLN	26/04/2022	45000	0	No	No
"a. One Diary
b. One Shield
c. One Calendar"		Syed  Naveed  Qamar	PTI	26/04/2022	15000	0	Yes	Yes
"One  w/watch
Frederique  constant
Model
F.C-718CHWM4H6
Serial#3780291"	Watch	"Syed  Nayyar  Hussain
Bukhari"		09/05/2022	834250	0	No	No
"One  watch  Frederique
constant Model
F.C-718CHWM4H6
Serial#3780292"	Watch	"Syed  Nayyar  Hussain
Bukhari"		09/05/2022	834250	0	No	No
"One watch Aryta
(Expo Dubai)"	Watch	"Syed  Nayyar  Hussain
Bukhari"	Military	09/05/2022	400000	0	No	No
One wall hanging		"Syed  Qutab  Ali
Shah"	PMLN	10/05/2022	12000	0	No	No
One rifle duly framed	Weapons	Syed  Safdar  Ali	PMLN	10/05/2022	0	0	No	No
One revolver		Syed  Safwanullah	PMLN	10/05/2022	25000	0	No	No
"One  short  gun  (duly
framed)"	Weapons	Syed  Salman  Shah	PMLN	10/05/2022	45000	0	No	No
"a. One  Al-Taif  Rose
Nakhb Al-Rouse
b. Two Maknuz
Khalas Dates
c. One  Al-jouf  Olive
Oil
d. One  Taif  rose
water
e. One  Khawlani
coffee beans
f. One sider honey"		Syed  Sharif  uddin  Pirzada		10/05/2022	35000	2500	Yes	Yes
"One  W/watch  Oyster
M- (Rolex SA Geneve)
Sr  No.  M116681-
0002/851Z34F7"	Watch	Syed  Sharif  uddin  Pirzada		10/05/2022	7200840	0	No	No
"Rolex  w/watch
(oyster)M116680-
0002 12936133"	Watch	Syed  Tariq  Fatemi	Bureaucracy	11/05/2022	4950000	0	No	No
"Tudor  Watch
model(79012M)"	Watch	Syed  Tariq  Fatemi	Bureaucracy	11/05/2022	1214170	0	No	No
"a. One  Rolex  wrist
watch
b. One Taif Rose"	Watch	Syed  Tariq  Fatemi	Bureaucracy	12/05/2022	517000	247100	Yes	Yes
"a. One  box
containing: -
(i)  Two  bottles  of
liquid Oud
(ii)  Oud  Wood
Approx 2 kg
b. One Book
c. One  box
containing: -
(i)  Three  Packets
of dates"		Syed  Tariq  Fatemi	PMLN	12/05/2022	258000	145500	Yes	Yes
"One box containing: -
a. Four  bottles  of
liquid oud
b. One  box  of  oud
wood
c. One  box  of
Saffron"		Syed  Tariq  Fatemi	PMLN	12/05/2022	520000	125500	Yes	Yes
"One wrist watch Rolex
(Model
No.326259TBR-Sr
No.85C423E3)"	Watch	Syed  Tariq  Fatemi	PMLN	12/05/2022	140000000	0	"Displayed
at Prime
Minister
House"	"Displayed
at Prime
Minister
House"
"One box containing: -
a. One  wrist  watch
Lange  &  Sohne
Datograph Flyback
b. One  pair  of
cufflinks
(Chopard)
c. One  pen
(Chopard)
d. One  ring
(Chopard)
e. One  Tasbih
(Chopard)"	Watch	Syed  Tariq  Fatemi	PMLN	12/05/2022	16236850	0	"Gifts
displayed at
Prime
Minister
House"	"Gifts
displayed at
Prime
Minister
House"
"a. One  box
containing
w/watch  Rolex
No.636339
(Replica)
b. One  Al-Taif  rose
Nakhb Al-Rouse
c. One  box
containing: -
i)  one  packet  of
coffee beans
ii)  one  jar  of  sidr"	Watch	Syed  Tariq  Fatemi	Military	12/05/2022	39000	0	No	No
"One  model  of  Station
of Abraham"		Syed  Tariq  Fatemi	PMLN	12/05/2022	16000	0	Yes	Yes
"a. One  Rolex
W/watch  oyster
swim  pruf
LM473548(1)
b. One Taif rose bride
rate - perfume"	Watch	Syed  Tariq  Fatemi	PMLN	16/05/2022	3564000	0	No	No
"A  box  containing
perfume Taif Rose"		Syed  Tariq  Fatemi	Bureaucracy	17/05/2022	22000	0	No	No
"a. One  box
containing: -"		Syed  Tariq  Fatemi		17/05/2022	3000	0	No	No
"One Rolex W/watch
Model
No.M126283RBR-
0004
Serial No.2997C1M9"	Watch	Syed  Tariq  Fatemi		18/05/2022	3850000	0	No	No
"a. One  Rolex
w/watch  (oyster
perpetual)
Model.16681-
0002 (0A37Z468)
b. One  Taif  Rose
Bride Rate"	Watch	Syed  Tariq  Fatemi		19/05/2022	742084	0	No	No
"One Rolex w/watch
S.No.W278343RBR-
0024  Model  96  PA
Oyster M96PA0021"	Watch	"Syed  Yahya
Manawar"	PMLN	19/05/2022	2750000	0	No	No
"One  w/watch Rolex
No.062F2440-
M126300-0005"	Watch	"Syed  Yahya
Manawar"		19/05/2022	2200000	0	Yes	Yes
"One  W/watch
Victorinox No.249173"	Watch	"Syed  Yahya
Manawar"	Military	19/05/2022	200000	0	No	No
"One  W/Watch  Tudor
No. M79012M-
0001,38916T1"	Watch	"Syed  Yousaf  Raza
Gillani"		19/05/2022	1214170	0	No	No
"One  W/watch
Fredique  Constant
Geneve  No.FC-
718CHWM4H6"	Watch	"Syed  Yousaf  Raza
Gillani"	Police	19/05/2022	834250	0	No	No
"One  W/Watch  Tudor
No.M79540-
0001,1711280"	Watch	"Syed  Yousaf  Raza
Gillani"	Military	19/05/2022	575000	0	No	No
